ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),505208,Age specific fertility rate: 15-19,134,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FEFRTRWA15,GHDHS1988408001,1988,DHS,,,,,1
GHA,Central,511025,Age specific fertility rate: 15-19,171,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408002,1408020,Region,Central,0,,0,1,FEFRTRWA15,GHDHS1988408002,1988,DHS,,,,,1
GHA,Greater Accra,505176,Age specific fertility rate: 15-19,86,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408003,1408030,Region,Greater Accra,0,,0,1,FEFRTRWA15,GHDHS1988408003,1988,DHS,,,,,1
GHA,Volta (pre 2022),517364,Age specific fertility rate: 15-19,141,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FEFRTRWA15,GHDHS1988408004,1988,DHS,,,,,1
GHA,Eastern,517355,Age specific fertility rate: 15-19,129,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408005,1408050,Region,Eastern,0,,0,1,FEFRTRWA15,GHDHS1988408005,1988,DHS,,,,,1
GHA,Ashanti,517345,Age specific fertility rate: 15-19,117,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408006,1408060,Region,Ashanti,0,,0,1,FEFRTRWA15,GHDHS1988408006,1988,DHS,,,,,1
GHA,Brong-Ahafo,517332,Age specific fertility rate: 15-19,149,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FEFRTRWA15,GHDHS1988408007,1988,DHS,,,,,1
GHA,"Northern, Upper West, Upper East",505213,Age specific fertility rate: 15-19,93,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,FEFRTRWA15,GHDHS1988408008,1988,DHS,,,,,1
GHA,Western (pre 2022),505197,Age specific fertility rate: 20-24,290,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A20,11763020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FEFRTRWA20,GHDHS1988408001,1988,DHS,,,,,1
