ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),7901856,Social security health insurance [Women],42.6,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_SOS,151403010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,AHHINSWSOS,GHDHS2008408001,2008,DHS,447,438,,,1
GHA,Central,6071124,Social security health insurance [Women],23.2,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_SOS,151403010,I,408002,1408020,Region,Central,0,,0,1,AHHINSWSOS,GHDHS2008408002,2008,DHS,424,334,,,1
GHA,Greater Accra,7570772,Social security health insurance [Women],24.6,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_SOS,151403010,I,408003,1408030,Region,Greater Accra,0,,0,1,AHHINSWSOS,GHDHS2008408003,2008,DHS,853,692,,,1
GHA,Volta (pre 2022),2583123,Social security health insurance [Women],30.2,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_SOS,151403010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,AHHINSWSOS,GHDHS2008408004,2008,DHS,431,433,,,1
GHA,Eastern,3685394,Social security health insurance [Women],49.6,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_SOS,151403010,I,408005,1408050,Region,Eastern,0,,0,1,AHHINSWSOS,GHDHS2008408005,2008,DHS,483,479,,,1
GHA,Ashanti,5240919,Social security health insurance [Women],40.7,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_SOS,151403010,I,408006,1408060,Region,Ashanti,0,,0,1,AHHINSWSOS,GHDHS2008408006,2008,DHS,1011,815,,,1
GHA,Brong-Ahafo,3165215,Social security health insurance [Women],58.9,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_SOS,151403010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,AHHINSWSOS,GHDHS2008408007,2008,DHS,425,403,,,1
GHA,"Northern, Upper West, Upper East",3969946,Social security health insurance [Women],44.8,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_SOS,151403010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,AHHINSWSOS,GHDHS2008408008,2008,DHS,842,1322,,,
GHA,Northern (pre 2022),6455970,Social security health insurance [Women],38.8,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_SOS,151403010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,AHHINSWSOS,GHDHS2008408009,2008,DHS,467,497,,,1
GHA,Upper West,6786553,Social security health insurance [Women],47,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_SOS,151403010,I,408010,1408100,Region,..Upper West,0,,0,1,AHHINSWSOS,GHDHS2008408010,2008,DHS,122,452,,,1
GHA,Upper East,4456582,Social security health insurance [Women],54.8,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_SOS,151403010,I,408011,1408110,Region,..Upper East,0,,0,1,AHHINSWSOS,GHDHS2008408011,2008,DHS,253,373,,,1
GHA,Western (pre 2022),7901853,Other employer-base health insurance [Women],0,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_EBI,151403020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,AHHINSWEBI,GHDHS2008408001,2008,DHS,447,438,,,1
GHA,Central,6071125,Other employer-base health insurance [Women],0,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_EBI,151403020,I,408002,1408020,Region,Central,0,,0,1,AHHINSWEBI,GHDHS2008408002,2008,DHS,424,334,,,1
GHA,Greater Accra,7570774,Other employer-base health insurance [Women],0.1,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_EBI,151403020,I,408003,1408030,Region,Greater Accra,0,,0,1,AHHINSWEBI,GHDHS2008408003,2008,DHS,853,692,,,1
GHA,Volta (pre 2022),2583124,Other employer-base health insurance [Women],0,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_EBI,151403020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,AHHINSWEBI,GHDHS2008408004,2008,DHS,431,433,,,1
GHA,Eastern,3685395,Other employer-base health insurance [Women],0,1,GH,Ghana,2008,GH2008DHS,AH_HINS_W_EBI,151403020,I,408005,1408050,Region,Eastern,0,,0,1,AHHINSWEBI,GHDHS2008408005,2008,DHS,483,479,,,1
